title,price,currency
APPLE IPHONE X 64/128/256GB RICONDIZIONATO + ACCESSORI E GARANZIA 12 MESI,,EUR
APPLE IPHONE 11 64GB Nero Black Condizione Eccellente - Ricondizionato ,349.0,EUR
Nuova inserzioneApple iPhone 13 Pro Max - 128GB - Azzurro Sierra (Sbloccato),425.0,EUR
Apple iPhone 14 Pro 256GB PURPLE,,EUR
Iphone 11 128GB,250.0,EUR
Apple iPhone 11 - 64GB - Bianco,380.0,EUR
Apple iPhone X - 64gb - Funzionante con difetti (LEGGERE DESCRIZIONE),231.0,EUR
APPLE IPHONE X RICONDIZIONATO 256GB ECCELLENTE BIANCO NERO,40.5,EUR
Nuova inserzioneApple iPhone 12 64 GB bianco e argento (sbloccato),259.99,EUR
Apple iPhone 13 5G 128GB NUOVO Originale Smartphone BIANCO GALASSIA STARLIGHT,97.18,EUR
Apple iPhone 12 Pro blu Pacifico 128 GB,709.9,EUR
Nuova inserzioneIPHONE 11 64GB NERO BATTERIA PERFETTA 81%,316.39,EUR
Apple iPhone XR - 128GB - Bianco (Sbloccato) libero da qualsiasi Blocco,260.0,EUR
APPLE IPHONE SE  2020 2GEN 64GB NERO MOLTO BUONO + PROBLEMA NESSUN SERVIZIO,181.0,EUR
APPLE IPHONE SE 128GB ROSSO - TOUCH ID NON FUNZIONANTE + ACCESSORI,99.0,EUR
APPLE IPHONE SE  2020 2GEN 128GB + ACCESSORI E GARANZIA 12 MESI,99.0,EUR
IPHONE XS 64 GB RICONDIZIONATO - ECCELLENTE ORO ORIGINALE APPLE + GARANZIA,189.0,EUR
Apple iPhone 3G / 3GS A1241 A1303 8GB 16GB neri black,239.0,EUR
APPLE IPHONE XS RICONDIZIONATO 256GB ECCELLENTE BIANCO NERO ORO,,EUR
Apple iPhone 13 5G 128GB NUOVO Originale Smartphone NERO MEZZANOTTE,289.99,EUR
iphone 3gs 32gb,709.9,EUR
Apple iPhone X - 64GB - Grigio Siderale,0.99,EUR
